,rank,title,studio,lifetime_gross,theaters,opening,theaters,release_date,genre
265,57,Cyrano de Bergerac(France),OrionC,"$5,820,020",-,n/a,-,11/16/90,foreign
266,58,Kolya(Czech),Mira.,"$5,770,254",128,"$445,598",128,1/17/97,foreign
267,59,El Crimen del Padre Amaro(Mexico),IDP,"$5,717,044",137,"$504,681",43,11/15/02,foreign
268,60,Mongol(Russia),PicH,"$5,705,761",253,"$135,326",5,6/6/08,foreign
269,61,Indochine(France),SPC,"$5,603,158",-,n/a,-,12/23/92,foreign
270,62,Central Station(Brazil),SPC,"$5,596,708",144,"$35,708",2,11/20/98,foreign
271,63,"Europa, Europa",OrionC,"$5,575,738",34,"$31,433",2,6/28/91,foreign
272,64,Water,FoxS,"$5,529,144",91,"$56,280",5,4/28/06,foreign
273,65,Downfall(Germany),NM,"$5,509,040",174,"$18,195",1,2/18/05,foreign
274,66,The Counterfeiters(Austria),SPC,"$5,488,570",170,"$87,514",8,2/22/08,foreign
275,67,Belle Epoque(Spain),SPC,"$5,418,216",-,n/a,-,2/25/94,foreign
276,68,Amores Perros(Mexico),Lions,"$5,408,467",187,"$61,047",2,3/30/01,foreign
277,69,Bread and Tulips(Italy),First,"$5,318,679",84,"$32,933",1,7/27/01,foreign
278,70,Chennai Express,UTV,"$5,307,960",196,"$2,220,497",196,8/8/13,foreign
279,71,Farewell My Concubine(China),Mira.,"$5,216,888",3,"$69,408",3,10/15/93,foreign
280,72,Bad Education(Spain),SPC,"$5,211,842",106,"$147,370",3,11/19/04,foreign
281,73,The Girl Who Kicked the Hornet's Nest,MBox,"$5,190,196",208,"$881,737",154,10/29/10,foreign
282,74,Biutiful,RAtt.,"$5,101,237",191,"$457,206",59,1/28/11,foreign
283,75,La Femme Nikita(France),Gold.,"$5,017,971",118,"$44,047",2,3/8/91,foreign
284,76,Broken Embraces(Spain),SPC,"$5,014,305",202,"$107,111",2,11/20/09,foreign
285,77,I Am Love,Magn.,"$5,005,465",166,"$121,504",8,6/18/10,foreign
286,78,Jean de Florette(France),OrionC,"$4,940,939",-,n/a,-,6/26/87,foreign
287,79,"Lust, Caution(China)",Focus,"$4,604,982",143,"$63,918",1,9/28/07,foreign
288,80,Ong Bak: The Thai Warrior,Magn.,"$4,563,167",387,"$1,334,869",387,2/11/05,foreign
289,81,Italian for Beginners,Mira.,"$4,544,753",99,"$66,047",3,1/18/02,foreign
290,82,"Au Revoir, Les Enfants(France)",OrionC,"$4,542,825",-,n/a,-,2/12/88,foreign
291,83,Mediterraneo(Italy),Mira.,"$4,532,791",-,n/a,-,3/20/92,foreign
292,84,Babette's Feast(Denmark),OrionC,"$4,398,938",-,n/a,-,3/4/88,foreign
