,ratings,title
782,9.1,Pride and Prejudice
783,5.7,Priest
784,8.1,"Princess Bride, The"
785,7.2,"Private Life of Sherlock Holmes, The"
786,6.4,"Producer, The"
787,6.5,"Program, The"
788,3.9,Prom Night
789,7.0,Prometheus
790,6.6,"Prophecy, The"
791,6.7,"Proposal, The"
792,8.5,Psycho
793,7.0,Public Enemies
794,8.9,Pulp Fiction
795,6.5,Purple Rain
796,5.9,Quantum Project
797,7.1,"Queen, The"
798,5.2,Queen of the Damned
799,6.7,Rachel Getting Married
800,8.3,Raging Bull
801,7.4,Raising Arizona
802,6.7,Rambling Rose
803,6.4,Rambo First Blood II The Mission
804,7.6,"Reader, The"
805,7.0,Real Genius
806,8.5,Rear Window
807,7.8,Rebel Without A Cause
808,5.7,Red Planet
809,5.4,Red Riding Hood
810,5.7,Reindeer Games
811,5.7,"Relic, The"
812,7.2,Remember Me
813,6.5,"Replacements, The"
814,6.9,Repo Man
815,6.9,"Rescuers Down Under, The"
816,8.4,Reservoir Dogs
817,6.7,Resident Evil
818,5.7,Return of the Apes
819,8.1,"Revenant, The"
820,7.3,Revolutionary Road
821,7.3,Ringu
822,7.3,Rise of the Guardians
823,7.6,Rise of the Planet of the Apes
824,7.1,RKO 281
825,6.5,"Road, The"
826,6.9,Robin Hood Prince of Thieves
827,6.2,Robocop
828,5.5,"Rock, The"
829,7.3,RocknRolla
830,8.1,Rocky
831,5.8,Romeo & Juliet
832,7.3,Ronin
833,8.8,"Roommate, The"
834,6.7,Roughshod
835,5.9,"Ruins, The"
836,5.5,Runaway Bride
837,6.6,Rush Hour 2
838,6.9,Rush Hour
839,8.1,Rush
840,7.7,Rushmore
841,7.5,Rust and Bone
842,3.6,S. Darko
843,7.5,"Saint, The"
844,7.2,"Salton Sea, The"
845,7.8,"Sandlot Kids, The"
846,6.1,Save the Last Dance
847,7.5,Saving Mr. Banks
848,8.6,Saving Private Ryan
849,7.7,Saw
850,8.3,Scarface
851,5.2,Scary Movie 2
852,8.9,Schindler's List
853,6.1,Scream 2
854,5.5,Scream 3
855,7.2,Scream
856,8.6,Se7en
857,8.0,"Searchers, The"
858,5.8,Semi Pro
859,7.7,Sense and Sensibility
860,8.0,Serenity
861,6.7,Serial Mom
862,7.2,"Sessions, The"
863,8.2,"Seventh Seal, The"
864,7.0,Sex and the City
865,5.1,Sexual Life
866,6.9,Shadow of the Vampire
867,7.2,Shakespeare in Love
868,7.4,Shallow Grave
869,7.3,Shame
870,6.3,Shampoo
871,9.3,"Shawshank Redemption, The"
872,6.4,She's Out of My League
873,7.6,Sherlock Holmes
874,6.5,Shifty
875,8.4,"Shining, The"
876,6.8,"Shipping News, The"
877,6.6,Shivers
878,6.1,Shrek the Third
879,7.9,Shrek
880,7.5,Sideways
881,6.3,"Siege, The"
882,6.7,Signs
883,8.6,Silence of the Lambs
884,7.8,Silver Bullet
885,7.8,Silver Linings Playbook
886,6.1,Simone
887,6.3,Single White Female
888,6.2,Sister Act
889,6.9,Six Degrees of Separation
890,8.1,"Sixth Sense, The"
891,6.8,Sleepless in Seattle
892,7.5,Sleepy Hollow
893,8.0,Sling Blade
894,6.5,Slither
895,8.0,Slumdog Millionaire
896,6.8,Smashed
897,6.7,Smokin' Aces
898,8.3,Snatch
899,7.1,Sneakers
900,6.8,Snow Falling On Cedars
901,6.1,Snow White and the Huntsman
902,6.4,So I Married an Axe Murderer
903,7.7,"Social Network, The"
904,8.1,Solaris
905,6.0,Soldier
906,6.1,Someone To Watch Over Me
907,6.7,Something's Gotta Give
908,7.5,Source Code
909,8.8,South Park
910,6.5,Spanglish
911,6.8,Spare Me
912,6.6,Spartan
913,6.1,Speed Racer
914,7.2,Speed
915,6.0,Sphere
916,6.3,Spider Man
917,6.3,St. Elmo's Fire
918,7.6,Star Trek First Contact
919,6.6,Star Trek Generations
920,7.7,Star Trek II The Wrath of Khan
921,6.4,Star Trek The Motion Picture
922,8.0,Star Trek
923,8.7,Star Wars A New Hope
924,6.7,Star Wars Attack of the Clones
925,7.6,Star Wars Revenge of the Sith
926,7.9,Star Wars The Empire Strikes Back
927,6.5,Star Wars The Phantom Menace
928,7.0,Starman
929,7.2,Starship Troopers
930,6.8,State and Main
931,6.7,Station West
932,6.7,Stepmom
933,8.3,"Sting, The"
934,7.0,Stir of Echoes
935,6.9,Storytelling
936,7.2,Strange Days
937,8.1,Strangers on a Train
938,7.3,"Stuntman, The"
939,8.1,Sugar and Spice
940,7.2,Sugar
941,8.5,Sunset Blvd.
942,6.9,Sunshine Cleaning
943,7.1,Super 8
944,7.6,Superbad
945,5.4,Superfights
